id_ospite,nome,cognome,titolo,appartenenza
O133,Arturo,Scotto,Politico,Articolo Uno
O134,Susanna,Ceccardi,Politico,Lega
O135,Oliviero,Toscani,Fotografo,
O136,Maria Giovanna,Maglie,"Opinionista, ex Politico",
O137,Paolo,Brosio,Giornalista,
O138,Licia,Ronzulli,Politico,FI
O139,Emanuele,Fiano,Politico,PD
O140,Massimo,Mallegni,Politico,FI
O141,Luciano,Casamonica,,
O142,Rosario,Crocetta,Ex Presidente Sicilia,
O143,Gianfranco,Librandi,Politico,PD
O144,Fabrizio,Bacconeri,Personaggio Televisivo,
O145,Abdessamad,Laqrichat,Genitore,
O146,Joe,Formaggio,Sindaco Albettone,
O147,Daniela,Martani,Animalista,
O148,Gianfranco,Vissani,Chef,
O149,Maria,Cassano,Nutrizionista,
O150,Fabrizio,Del Noce,Ex Giornalista,
O151,Ilona,Staller,Personaggio Televisivo,
O152,Claudio,Diaferia,Vittima furto,
O153,Ignazio,Corrao,Politico,M5S
O154,Francesco,Laforgia,Politico,La Sinistra
O155,Simone,Di Stefano,Politico,Casa Pound
O156,Pierfrancesco,Majorino,Politico,PD
O157,Paola,De Micheli,Politico,PD
O158,Valerio,Merola,Conduttore Televisivo,
O159,Piergiorgio,Odifreddi,Matematico e saggista,
O160,Carmela,Rozza,Politico,PD
O161,Katia,Ricciarelli,"Soprano, opinionista televisiva",
O162,Rasim,Adzovic,Vicepresidente associazione Nuova Vita-rom-,
O163,Emanuela,Folliero,Conduttore Televisivo,
O164,Malika,Ayane,Cantante,
O165,Marco,Travaglio,Giornalista,Il Fatto Quotidiano
O166,Paolo,Capone,Sindacalista,UGL
O167,Armando,Siri,Politico,Lega
O168,Gaetano,Pedullà,Giornalista,La Notizia
O169,Daniele,Martinelli,Giornalista,
O170,Alessandro,Orsini,Professore Luiss,
O171,Aldo,Antonelli,Sacerdote,
O172,Umberto,Smaila,Cantante,
O173,Rami,Shehata,Studente,
O174,Sara,Bonanno,Politico,Partito Pirata
O175,Antonfrancesco,Venturini,Politico,Popolari per l'Italia
O176,Cristiano,Ceriello,Politico,Partito Animalista italiano
O177,Giuseppe,Provenzale,Politico,Forza Nuova
O178,Francesca,Fogar,Autrice televisiva,
O179,Benedetto,Della Vedova,Politico,+Europa
O180,Marco,Gheller,Politico,Autonomie per l'Europa
O181,Mario,Mauro,Politico,Popolari per l'Italia
O182,Fabrizio,Summonte,Autore televisivo,
O183,Asia,Roma,"Ex avvocato, escort",
O184,Jo,Squillo,Cantante,
O185,Ivan,Cattaneo,Rappresentante Lgbtq+,
O186,Dino,Giarrusso,Politico,M5S
O187,Don Massimo,Biancalani,Sacerdote,
O188,Gennaro,Sangiuliano,Direttore ,Rai 2
O189,Peter,Gomez,Giornalista,Il Fatto Quotidiano
