nome,cognome,titolo,appartenenza
Francesco,Laforgia,Politico,La Sinistra
Simone,Di Stefano,Politico,Casa Pound
Pierfrancesco,Majorino,Politico,PD
Paola,De Micheli,Politico,PD
Valerio,Merola,Conduttore Televisivo,
Piergiorgio,Odifreddi,Matematico e saggista,
Carmela,Rozza,Politico,PD
Katia,Ricciarelli,"Soprano, opinionista televisiva",
Rasim,Adzovic,Vicepresidente associazione Nuova Vita-rom-,
Emanuela,Folliero,Conduttore Televisivo,
Malika,Ayane,Cantante,
Marco,Travaglio,Giornalista,Il Fatto Quotidiano
Paolo,Capone,Sindacalista,UGL
Armando,Siri,Politico,Lega
Gaetano,Pedullà,Giornalista,La Notizia
Daniele,Martinelli,Giornalista,
Alessandro,Orsini,Professore Luiss,
Aldo,Antonelli,Sacerdote,
Umberto,Smaila,Cantante,
Rami,Shehata,Studente,
Sara,Bonanno,Politico,Partito Pirata
Antonfrancesco,Venturini,Politico,Popolari per l'Italia
Cristiano,Ceriello,Politico,Partito Animalista italiano
Giuseppe,Provenzale,Politico,Forza Nuova
Francesca,Fogar,Autrice televisiva,
Benedetto,Della Vedova,Politico,+Europa
Marco,Gheller,Politico,Autonomie per l'Europa
Mario,Mauro,Politico,Popolari per l'Italia
Fabrizio,Summonte,Autore televisivo,
Asia,Roma,"Ex avvocato, escort",
Jo,Squillo,Cantante,
Ivan,Cattaneo,Rappresentante Lgbtq+,
Dino,Giarrusso,Politico,M5S
Don Massimo,Biancalani,Sacerdote,
Gennaro,Sangiuliano,Direttore ,Rai 2
Peter,Gomez,Giornalista,Il Fatto Quotidiano
